2017-09-17 13:52:23	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Error: 	Exception: Method Role::hasRole does not exist or is not callable in this context (in /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php line 519)  #0 /Applications/MAMP/htdocs/bannertool/wire/core/Page.php(1607): ProcessWire\Wire->___callUnknown('hasRole', Array) #1 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(386): ProcessWire\Page->___callUnknown('hasRole', Array) #2 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___callUnknown', Array) #3 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Role), 'callUnknown', Array) #4 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(445): ProcessWire\Wire->__call('callUnknown', Array) #5 /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php(62): ProcessWire\Wire->__call('hasRole', Array) #6 /Applications/MAMP/htdocs/bannertool/wire/core/TemplateFile.php(268): require('/Applications/M...') #7
2017-09-17 13:58:27	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Error: 	Uncaught Error: Call to a member function hasRole() on string in /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php:59 Stack trace: #0 /Applications/MAMP/htdocs/bannertool/wire/core/TemplateFile.php(268): require() #1 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___render', Array) #3 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /Applications/MAMP/htdocs/bannertool/wire/modules/PageRender.module(514): ProcessWire\Wire->__call('render', Array) #5 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /Applicat (line 59 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-17 14:05:52	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' (line 53 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-17 14:21:44	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected '=', expecting ',' or ';' (line 63 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-17 19:26:47	remco	http://localhost:8888/bannertool/	Parse Error: 	syntax error, unexpected '$client' (T_VARIABLE), expecting ',' or ';' (line 8 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/homepage.php)
2017-09-30 17:58:51	remco	http://localhost:8888/bannertool/canvas/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 6 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php)
2017-10-02 21:22:54	remco	http://localhost:8888/bannertool/canvas/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 26 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php)
2017-10-02 21:39:38	remco	http://localhost:8888/bannertool/canvas/	Parse Error: 	syntax error, unexpected ';', expecting ',' or ')' (line 21 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php)
2017-10-02 21:42:49	remco	http://localhost:8888/bannertool/canvas/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 22 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php)
2017-10-02 21:43:43	remco	http://localhost:8888/bannertool/canvas/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 22 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/canvas.php)
